disease_en	disease_jp
migraine	偏頭痛=片頭痛
miliary atelectasis	粟粒性無気肺
miliary tuberculosis	粟粒結核
mixed astigmatism	混合乱視
monarthritis	単関節炎
monkeypox	サル痘
monoarthralgia	単関節痛
monoarthritis	単関節炎
monochorditis	一側性声帯炎
monoculus	単眼奇形
monocytosis	単球増加症∥単球増多症
monomyositis	単発性筋炎
mononucleosis	単核症∥単核球症∥単核細胞症
monoplegia	単麻痺
moon face	満月様顔貌
mottled tooth	斑状歯
movable kidney	遊走腎(floating kidney)
mucinous carcinoma	粘液癌
mucocele	粘液瘤(mucous retention cyst)
mucoclasis	粘膜破壊
mucocutaneous lymph node syndrome	皮膚粘膜リンパ節症候群[略 MLNS](=川崎病)
mucoenteritis	小腸粘膜炎
mucopolysaccharidosis	ムコ多糖症
mucopolysacchariduria	ムコ多糖尿
mucositis	粘膜炎
mucous diarrhea	粘液性下痢
mucoviscidosis	膵線維症
multicystic kidney	多嚢胞腎∥嚢胞腎(polycystic kidney)
multidrug resistant tuberculosis	多薬物耐性結核
multifocal motor neuropathy	多病巣性運動神経症
multimammae	多乳房(症)
multiple myeloma	多発性骨髄腫
multiple organ failure	多臓器不全[略 MOF]
mural pregnancy	壁妊娠
muscle fatigue	筋疲労
myalgia	筋肉痛(muscle ache)
myasthenia gravis	重症筋無力症
myasthenic syndrome	筋無力症候群
mycetoma	菌腫
mycoplasma infection	マイコプラズマ感染症
mycoplasma pneumonia	マイコプラズマ肺炎 
mycosis	真菌症
mycosis fungoides	菌状息肉症[略 MF]
mycotic infection	真菌性感染(fungal infection)
mycotic pneumonia	真菌性肺炎
mycotic stomatitis	真菌性口内炎
myelapoplexy	脊髄出血
myelatrophy	脊髄萎縮
myelitis	脊髄炎
myelocele	脊髄瘤(syringocele)
myelofibrosis	骨髄線維症
myelogenous leukemia	骨髄性白血病
myelolipoma	骨髄脂肪腫
myeloma	骨髄腫
plasma cell myeloma	形質細胞性骨髄腫
myelomeningitis	脊髄髄膜炎
myeloparalysis	脊髄麻痺(spinal paralysis; myeloplegia)
myelopathy	髄症∥ミエロパチー
vascular myelopathy	血管性ミエロパチー
myelophthisis	脊髄癆∥骨髄癆
myeloplegia	脊髄麻痺
myelorrhagia	脊髄出血
myelosis	髄症∥脊髄症
myelosyphilis	脊髄梅毒(spinal syphilis)
myoblastoma	筋芽細胞筋腫
myocardial fibrosis	心筋線維症[略 MF]
myocardial infarction	心筋梗塞
myocardiopathy	心筋障害∥心筋症
myocarditis	心筋炎
tuberculous myocarditis	結核性心筋炎
myodesopsia	飛蚊症
myoepithelioma	筋上皮腫
myofascitis	筋膜炎
myolipoma	筋脂肪腫
myoma	筋腫
myoma uteri	子宮筋腫
myoma uteri submucosum	子宮粘膜下筋腫[L]
myomalacia cordis	心筋軟化症[L]
myometritis	子宮筋層炎
myositis	筋炎
myositis ossificans	骨化性筋炎[L]
myringitis	鼓膜炎
myxasthenia	粘液分泌欠乏(症)
myxedema	粘液水腫
myxoadenoma	粘液腺腫
myxochondroma	粘液軟骨腫
myxochondrosarcoma	粘液軟骨肉腫
myxofibroma	粘液線維腫
myxofibrosarcoma	粘液線維肉腫
myxoglioma	粘液神経膠腫
myxoma	粘液腫
odontogenic myxoma	歯原性粘液腫
myxomatosis	粘液腫症
myxorrhea	粘液漏
myxosarcoma	粘液肉腫
naevus fuscocaerules ophthalmomaxillaris	眼上顎褐青色母斑[L]
nail ringworm	爪白癬(tinea unguium[L])
nanocephaly	小頭症
nasal obstruction	鼻閉塞
nasal polyp	鼻ポリープ∥鼻茸
nasopharyngitis	鼻咽頭炎
nausea	悪心
navicular abdomen	舟状腹
navicular disease	舟状関節炎
necrobiosis	類壊死[症]∥死生
necrobiosis lipoidica	リポイド類壊死症∥類脂質性類壊死症
necrobiosis lipoidica diabeticorum	糖尿病性リポイド類壊死症
necrosis	壊死
necrotized chilblain	壊死性凍瘡
necrotizing angiitis	壊死性血管炎
necrotizing fasciitis	壊死性筋膜炎
necrotizing sialometaplasia	壊死性唾液腺化生<[歯]>
necrotizing lymphadenitis	壊死性リンパ節炎
neoplasm	新生物
nephralgia	腎疼痛
nephritis	腎炎
transfusion nephritis	輸血腎炎
nephroblastoma	腎芽細胞腫
nephrolith	腎石
nephrolithiasis	腎石症
nephrolysis	腎細胞溶解
nephroma	腎腫
nephropathy	腎症∥腎障害
nephroptosis	腎下垂症
nephrosis	腎症∥ネフローゼ
nephrotoxicity	腎毒性
neural fibrolipoma	神経性線維脂肪腫
neuralgia	神経痛
neurilemmoma	神経鞘腫
neurinofibroma	神経鞘線維腫
neurinomatosis	神経鞘腫症
neuritis	神経炎
neuroblastoma	神経芽細胞腫∥神経芽腫
neurocytoma	神経細胞腫
neuroepithelioma	神経上皮腫
neurofibroma	神経線維腫
neurofibromatosis	神経線維腫症
neurofibrosarcoma	神経線維肉腫
neuroganglioma	神経節腫
neuroglioma	神経膠腫
neurolipoma	神経脂肪腫
neuroma	神経腫
traumatic neuroma	外傷性神経腫
neuromyelitis	神経脊髄炎
neuromyopathy	神経症∥神経筋障害∥ニューロミオパシー
neuronevus	神経母斑
neuroparalysis	神経性麻痺
neuropathy	神経症∥神経障害
neuroplegia	神経遮断
neuropsychosis	神経精神病
neurosis	神経症
neurotic alopecia	神経性脱毛症
neurotoxicity	神経毒性
neurotoxin	神経毒
neutropenia	好中球減少症
nevus	母斑
pigmented nevus	色素性母斑
nicotinic stomatitis	ニコチン性口内炎
nodular melanoma	結節性黒色腫(略 NM)
non-occlusive mesenteric ischemia	非閉塞性腸間膜虚血
nonspecific urethritis	非特異性尿道炎
nonspecific vaginitis	非特異性膣炎
non-ulcer dyspepsia	非潰瘍性消化不良
normal tension glaucoma	正常眼圧緑内障(略 NTG)
nosocomephrenia	入院うつ病
nosocomial sepsis	院内感染敗血症
nosomania	疾病狂∥疾病妄想症
nosophilia	好病症∥疾病希求症
nosophobia	疾病恐怖(症)
nosotoxicosis	中毒性疾患
notalgia	背痛
nyctalgia	夜間痛
nyctalope	夜盲症患者
nyctalopia	夜盲症∥鳥目(night blindness)
nyctophilia	暗夜愛好[症]∥好暗黒(症)
nyctophobia	暗闇恐怖(症)
nycturia	夜間頻尿(症)
nymphomania	女子色情症
nystagmus	眼振
refractory nystagmus	退縮眼振(nystagmus of retraction)
sagittal nystagmus	垂直眼振
obesity	肥満(症)
obliterating bronchiolitis	閉塞性細気管支炎(obstructive bronchiolitis)
obliterating pericarditis	閉塞性心膜炎
obliterating phlebitis	閉塞性静脈炎(obstructive phlebitis)
obstruction	閉塞
obturation obstruction	閉塞性腸閉塞
occlusal trauma	咬合性外傷
occult blood	潜血
occult blood in urine	尿潜血
ocular injury	眼球外傷∥眼外傷
ocular myoclonus	眼球ミオクローヌス
ocular perforating injury	穿孔性眼外傷
ocular torticollis	眼性斜頚
oculodynia	眼痛∥眼球痛(ophthalmalgia; eye pain; ocular pain)
oculopathy	眼病∥眼疾患
odontalgia	歯痛
odontodysplasia	歯牙異形成(症)
odontolith	歯石(dental calculus)
odontogenic carcinoma	歯原性癌腫
odontogenic carcinosarcoma	歯原性癌肉腫
odontogenic clear cell tumor	歯原性明細胞腫
odontogenic cyst	歯原性嚢胞
odontogenic fibroma	歯原性線維腫
odontogenic keratocyst	歯原性角化嚢胞
odontogenic maxillary sinusitis	歯性上顎洞炎
odontogenic mixed tumor	歯原性混合腫瘍
odontogenic sarcoma	歯原性肉腫
odontogenic tumor	歯原性腫瘍
odontoma	歯牙腫
complex odontoma	複雑性歯牙腫
compound odontoma	集合性歯牙腫
odontophobia	歯科治療恐怖(症)
odynacusis	騒音耳痛
odynophagia	嚥下痛
odynophobia	疼痛恐怖(症)
odynophonia	発声痛∥発声疼痛(症)
oligemia	乏血(症)
oligoamnion	羊水過少(症)
oligodendroblastoma	希突起膠芽[細胞]腫∥乏突起膠芽[細胞]腫
oligodendrocytoma	希突起膠[細胞]腫∥乏突起膠[細胞]腫 
oligodendroglioma	希突起膠[細胞]腫∥乏突起膠[細胞]腫
oligodontia	寡歯症
oligohydramnion	羊水過少(症)
oligohydrosis	発汗減少(症)
oligophrenia	精神遅滞(mental retardation//hypophrenia)
oligotrichia	貧毛(症)
oliguria	乏尿
oliguric renal failure	乏尿性腎不全
omalgia	肩痛
omphalitis	臍炎
omphalocele	臍帯ヘルニア
oncocytoma	オンコサイトーマ
oncosis	腫瘍症
onychatrophy	爪萎縮
onychia	爪床炎
onychitis	爪床炎
onychocryptosis	爪嵌入症∥爪甲嵌入症
onychodystrophy	爪ジストロフィー∥爪甲異栄養症
onychogryposis	爪鉤湾症∥爪甲鉤湾症
onychoheterotopia	爪甲異所症
onycholysis	爪甲離床症∥爪離床症∥爪甲剥離症∥爪剥離症
onychomadesis	爪脱落症∥爪甲脱落症
onychomycosis	爪真菌症
onychopathy	爪疾患
onychorrhexis	爪裂症
onychoschizia	爪甲離症∥爪離症
onychotillomania	爪甲損傷癖∥爪甲引抜癖
oocyesis	卵巣妊娠(ovarian pregnancy)
oophoritis	卵巣炎
operational fatigue	操縦疲労
operculitis	弁蓋炎
ophthalmagra	痛風性眼痛
ophthalmomalacia	眼球軟化症
ophthalmoplegia	眼筋麻痺
ophthalmorrhagia	眼出血
optic neuritis	視神経炎
optic perineuritis	視神経外鞘炎
oral focal mucinosis	口腔病巣状粘液沈着症
orchialgia	精巣痛∥睾丸痛(orchiodynia; testalgia; didymalgia)
orchiodynia	精巣痛∥睾丸痛(orchialgia; testalgia; didymalgia)
orchiepididymitis	精巣上体炎∥睾丸副睾丸炎
orchiocatabasis	精巣下降(descensus testis)
orchiocele	精巣ヘルニア
orchiopathy	精巣疾患∥睾丸疾患
orchitis	精巣炎∥睾丸炎
oreximania	病的食欲亢進
organomegaly	臓器巨大症
oscheitis	陰嚢炎(scrotitis)
osmidrosis	臭汗症(bromidrosis)
osphyalgia	座骨神経痛
osseous torticollis	骨性斜頚 
osteitis	骨炎(ostitis)
osteitis deformans	変形性骨炎(ostitis deformans[L])
osteitis fibrosa cystica	嚢胞性線維性骨炎(ostitis fibrosa cystica)
osteoarthritis	骨関節炎
osteoarthritis deformans	変形性骨関節炎
osteoblastoma	骨芽細胞腫
osteochondroma	骨軟骨腫
osteoclastoma	破骨細胞腫
osteodentin	類骨象牙質
osteodynia	骨痛
osteodystrophy	骨異栄養症
osteogenesis imperfecta	骨形成不全症
osteogenic sarcoma	骨原性肉腫∥骨肉腫(osteosarcoma)
osteofluorosis	骨フッ素症
osteolysis	骨溶解
osteoma	骨腫
peripheral osteoma	末梢骨腫(osteoma periphericum[L])
osteoma durum	緻密骨腫
osteoma externa	外部骨腫
osteoma periphericum	末梢骨腫(peripheral osteoma)
osteoma spongiosum	海綿骨腫
osteomalacia	骨軟化症
osteomyelitis	骨髄炎
radiation osteomyelitis	放射線骨髄炎
suppurative osteomylitis	化膿性骨髄炎
osteopathy	骨障害∥骨症∥オステオパシー
osteopenia	骨希薄∥骨減少症
osteopetrosis	大理石骨病(marble bone disease)
osteophytosis	骨棘症∥骨増殖症
osteoporosis	骨粗鬆症∥骨多孔症
osteoradionecrosis	放射線骨壊死
osteosarcoma	骨肉腫(osteogenic sarcoma)
osteosclerosis	骨硬化(症)
ostitis	骨炎(osteitis)
ostitis deformans	変形性骨炎
ostitis fibrosa cystica	嚢胞性線維性骨炎
ostium secundum defect	二次口欠損症
otalgia	耳痛
otitis	耳炎
otitis externa	外耳炎
otitis interna	内耳炎
otitis media	中耳炎
otocephaly	耳頭症
otocleisis	耳閉鎖∥外耳道閉塞
otodynia	耳痛
otomycosis	耳真菌症
otoneuralgia	耳神経痛
otopathy	耳病∥耳疾患
otopyosis	耳化膿[症]
otorrhagia	耳出血
otorrhea	耳漏
ovarialgia	卵巣痛
ovarian fibroma	卵巣線維腫
ovarian pregnancy	卵巣妊娠(oocyesis)
ovariocele	卵巣瘤∥卵巣ヘルニア
ovariopathy	卵巣病
ovariorrhexis	卵巣破裂
ovaritis	卵巣炎
ozostomia	口臭
pachyblepharon	眼瞼肥厚(症)
pachycheilia	口唇肥厚(症)
pachydactyly	指趾肥厚
pachyderma	硬皮症
pachyglossia	厚舌症
pachyperiostitis	肥厚性骨膜炎
pachypleuritis	肥厚性胸膜炎
pachysalpingitis	肥厚性卵管炎
pachysalpingo-ovaritis	肥厚性卵管卵巣炎
pachyvaginalitis	肥厚性鞘膜炎
pachyvaginitis	肥厚性膣炎
paget's disease	パジェット骨病(osteitis deformans[L])
muscular pain	筋肉痛
referred pain	関連痛(telalgia)
palatitis	口蓋炎
palatoplegia	軟口蓋麻痺
palatoschisis	口蓋裂
palindromic rheumatism	回帰性リウマチ
palmar erythema	手掌紅斑(erythema palmare[L]//red palm)
palmar hyperhidrosis	手掌多汗(症)
palpebritis	眼瞼炎
panarthritis	汎関節炎
panbronchiolitis	汎細気管支炎
pancarditis	汎心炎
pancreatalgia	膵痛
pancreatic injury	膵損傷
pancreatitis	膵炎∥膵臓炎
pancreatolith	膵石∥膵結石∥膵臓結石
pancreatolithiasis	膵石症
pancreatopathy	膵疾患
pandemia	汎流行∥汎発流行
panencephalitis	全脳炎∥汎脳炎
panlobular emphysema	汎小葉性肺気腫(略 PE)
panniculitis	脂肪織炎
panotitis	全耳炎
panphlebitis	汎静脈炎
pantalgia	全身痛
papilledema	乳頭水腫∥乳頭浮腫
papilloma	乳頭腫
pigmented papilloma	色素性乳頭腫(seborrheic keratosis)
plexus papilloma	脈絡叢乳頭腫
papillomatosis	乳頭腫症
papillotubular adenoma	乳頭腺管腺腫
papillotubular carcinoma	乳頭腺管癌
papule	丘疹
papulosis	丘疹症
paracusia	錯聴[症]∥聴覚性錯覚(paracusis)
paracusis	錯聴[症]∥聴覚性錯覚(paracusia)
paraganglioma	傍神経節腫
parageusia	錯味(症)
paragnathus	下顎過剰症∥下顎結合奇形
paragonimiasis	肺吸虫症
paragrammatism	錯文法
paragraphia	錯書(症)
parakinesis	運動錯誤
parakeratosis	錯角化(症)
paralogia	錯論理(症)
paralysis	麻痺
postdiphtheritic paralysis	ジフテリア後麻痺
spastic paralysis	痙縮性麻痺
paralytic scoliosis	麻痺性側彎症
paralytic secretion	麻痺性分泌
parametritis	子宮傍結合織炎∥傍子宮炎
paranasal sinusitis	副鼻腔炎
paraparesis	不全対麻痺
paraplegia	対麻痺
parasite	寄生虫
parasitic enteritis	寄生虫性腸炎
parasitic enterocolitis	寄生虫性腸炎
parasitic stomatitis	寄生虫性口内炎
paratrichosis	異所生毛
paratyphlitis	盲腸周囲炎
paresis	不全麻痺
paresthesia	感覚異常[症]∥知覚異常[症]∥触覚性錯覚
paridrosis	発汗異常(症)
paronychia	爪郭炎∥爪壁炎
paronychomycosis	爪囲真菌症
paroophoritis	卵巣傍体炎∥傍卵巣炎
parophthalmia	眼傍結合組織炎∥眼周囲炎
parorexia	異物嗜好
parostosis	傍骨症
parotitis	耳下腺炎
chronic recurrent parotitis	慢性再発性耳下腺炎
paroxysmal dyspnea	発作性呼吸困難
paroxysmal dysrhythmia	特発性律動異常
partial block	不完全ブロック
patent ductus arteriosus	動脈管開存症
patent foramen ovale	卵円孔開存症
pathomimesis	仮病
pathosis	病的状態
pectoralgia	胸痛
pectus excavatum	漏斗胸(funnel chest; chonechondrosternon; koilosternia)
pedialgia	足痛
pediculosis	シラミ寄生症
pelvospondylitis	骨盤脊椎炎
pemphigus	天疱瘡
pemphigus erythematosus	紅斑性天疱瘡(略 Pe)
pemphigus foliaceus	落葉性天疱瘡
pemphigus vulgaris	尋常性天疱瘡
pemphigoid	類天疱瘡
peptic ulcer	消化性潰瘍
perforated gastric ulcer	穿孔性胃潰瘍
perforated peptic ulcer	消化性潰瘍穿孔
perforation	穿孔
periadenitis	腺周囲炎
periangiocholitis	胆管周囲炎
periapical scar	根尖瘢痕[[歯]]
periarteritis	動脈周囲炎
periarteritis nodosa	結節性動脈周囲炎(略 *PN)
periarthritis	関節周囲炎
scapulohumeral periarthritis	肩関節周囲炎(periarthritis scapulohumeralis[L])
pericarditis	心外膜炎∥心嚢炎
pericementitis	根尖性セメント周囲炎[[歯]]
pericholangitis	胆管周囲炎
pericholecystitis	胆嚢周囲炎
perichondritis	軟骨膜炎
pericolitis	結腸周囲炎
pericolpitis	膣周囲炎
pericoronitis	歯冠周囲炎
periductal masititis	乳管周囲炎
perilaryngitis	喉頭周囲炎
perimetritis	子宮周囲炎∥子宮外膜炎
perinephritic abscess	腎周囲膿瘍
perinephritis	腎周囲炎
perineuritis	神経周囲炎
periorbititis	眼窩骨膜炎
periodontitis	歯周炎
traumatic periodontitis	外傷性歯周炎
perioophoritis	卵巣周囲炎
periosteomyelitis	骨膜骨髄炎
periostitis	骨膜炎
periostosis	骨膜症
perirectal abscess	肛門周囲膿瘍∥直腸周囲膿瘍
perisalpingitis	卵管周囲炎
perisigmoiditis	Ｓ状結腸周囲炎
perisplenitis	脾周囲炎
perispondylitis	脊椎周囲炎
peritendinitis	腱鞘炎
peritonealgia	腹膜痛
peritonitis	腹膜炎
peritonsillitis	扁桃周囲炎
peritracheitis	気管周囲炎
perityphlitis	盲腸周囲炎
perivaginitis	膣周囲炎
perivasculitis	血管周囲炎
peromelia	四肢奇形(peromely)
peromely	四肢奇形(peromelia)
pertussis	百日咳(whooping cough)
pes valgus	外反足(talipes valgus)
petroclival meningioma	斜台錐体部髄膜腫
petrosal neuralgia	錐体神経痛
petrositis	錐体炎
phacoma	水晶体腫
phallitis	陰茎炎
pharyngalgia	咽頭痛
pharyngitis	咽頭炎
pharyngoconjunctival fever	咽頭結膜熱(略 *PCF)
pharyngodynia	咽頭痛
pharyngomycosis	咽頭糸状菌症
pharyngoplegia	咽頭麻痺
pharyngorrhea	咽頭漏
pharyngotonsillitis	咽頭扁桃炎
pharyngoxerosis	咽頭乾燥症
pheochromoblastoma	クロム親和芽細胞腫
pheochromocytoma	クロム親和細胞腫
phlebangioma	静脈瘤
phlebarteriectasia	動静脈拡張症
phlebectasia	静脈拡張症
phlebemphraxis	静脈血栓症∥静脈塞栓症
phlebismus	静脈怒張
phlebitis	静脈炎
phlebolith	静脈石∥静脈結石
phlebolithiasis	静脈結石症
phlebosclerosis	静脈線維症(venofibrosis)
phlebostasis	静脈鬱血(venous stasis; venostasis; venous congestion)
phlebothrombosis	静脈血栓症(venous thrombosis)
phlebothrombus	静脈血栓
phlegmon	蜂巣織炎
photophobia	光恐怖症
phrenic nerve palsy	横隔神経麻痺
phrenoplegia	横隔膜麻痺
phthisis	癆〈結核のこと〉
phthisis pulmonum	肺癆[L]〈肺結核のこと〉
phycomycosis	藻菌症
physioneurosis	真性神経症
physocele	含気腫瘍∥含気ヘルニア嚢
physopyosalpingx	卵管膿気腫
pigmentation	色素沈着
pigmentovascular vevus	色素血管性母斑
pilomatrixoma	毛母腫∥毛質腫
pilosis	多毛症
pinealoblastoma	松果体芽細胞腫
pinealoma	松果体腫
pituicytoma	下垂体細胞腫
pituitary gigantism	下垂体性巨人症
placenta accreta	癒着胎盤
placenta increta	侵入胎盤
placenta percreta	穿通胎盤
placenta previa	前置胎盤
placental abruption	胎盤早期剥離
placental polyp	胎盤ポリープ
placental site trophoblastic tumor	胎盤性栄養膜細胞腫瘍[略 PSTT]
placentitis	胎盤炎
placentoma	胎盤腫
pladaroma	眼瞼軟疣腫
plagiocephaly	斜頭症
planovalgus	扁平外反
plantar fasciitis	足底腱膜炎
plantar wart	足底いぼ(verruca plantaris[L])
plasmacytoma	形質細胞腫
plasmacytosis	形質細胞増加症
pleomorphic adenoma	多形性腺腫
pleomorphic sarcoma	多形性肉腫∥多形型肉腫
pleuralgia	胸膜痛
pleurisy	胸膜炎(pleuritis)
pleuritis	胸膜炎(pleurisy)
pleuritis carcinomatosa	癌性胸膜炎
pleuritis sicca	乾性胸膜炎(dry pleurisy)
pleurocele	胸膜瘤
pleurodynia	胸膜痛(pleuralgia)
pleurolith	胸膜結石
pleuropericarditis	胸膜心膜炎
pleuropneumonia	胸膜肺炎
pleurorrhea	胸腔漏
pneumarthrosis	関節気腫
pneumatocele	気瘤(aerocele)
pneumatorrhachis	脊椎気腫
pneumatosis	気腫[症]∥気症
pneumaturia	気尿(症)
pneumocephalus	頭蓋内気腫
pneumococcal otitis media	肺炎球菌性中耳炎
pneumococcal empyema	肺炎球菌性蓄膿
pneumoconiosis	塵肺(症)
pneumocranium	気脳[症]; 頭蓋内気腫
pneumocystis carinii pneumonia	カリニ肺炎
pneumocystosis	ニューモシスチス症
pneumomediastinum	気縦隔(症)
pneumomycosis	肺真菌症
pneumonectasia	肺気腫
pneumonia	肺炎(pneumonitis)
hypersensitivity pneumonia	過敏性肺炎
radiation pneumonia	放射線肺炎
staphylococcal pneumonia	黄色ブドウ球菌[性]肺炎
uremic pneumonia	尿毒症性肺炎
viral pneumonia	ウイルス性肺炎
pneumonitis	肺炎
pneumoperitonitis	含気性腹膜炎
pneumopleuritis	肺胸膜炎
pneumosclerosis	肺硬化症
pneumothorax	気胸
traumatic pneumothorax	外傷性気胸
podalgia	足痛
podarthritis	足関節炎
poikilocytosis	変形赤血球症
poikiloderma	多形皮膚萎縮(症)
poisoning	中毒(intoxication)
poliodystrophy	灰白質萎縮(症)
polioencephalitis	灰白脳炎
polioencephalomeningomyelitis	灰白脳脊髄髄膜炎
polioencephalomyelitis	灰白脳脊髄炎
polioencephalopathy	灰白脳症
poliomyelitis	脊髄性小児麻痺
poliosis	白毛(症)
polyangiitis	多発性血管炎
polyarteritis	多発性動脈炎
polyarteritis nodosa	結節性多発動脈炎∥多発性結節性動脈炎[L][略 PN]
polyarthralgia	多発性関節痛
polyarthritis	多発性関節炎
polycholia	胆汁過多(症)
polycystic kidney	多嚢胞腎∥嚢胞腎(multicystic kidney)
polycythemia	赤血球増加[症]∥多血症
polycythemia vera	真性多血症
polydipsia	多飲多食症
polydysplasia	多発異形成
polyglobulism	多血球症
polygnathia	多顎症
polyhidrosis	多汗(症)(hyperhidrosis)
polymastia	多乳房症
polymenorrhea	頻発月経
polymeria	多節(症)
polymyalgia	多発性筋肉痛
polymyositis	多発性筋炎
polyneuralgia	多発性神経痛
polyneuritis	多発性神経炎
polyneuromyositis	多発性神経筋炎
polyneuropathy	多発性神経障害∥多発性ニューロパチー
polyp	息肉∥ポリープ
polypathia	多病
polyphagia	大食症
polyplegia	多発性麻痺
polypnea	多呼吸
polypodia	多足症
polyposis	ポリープ症∥ポリポシス
polysplenia	多脾症
polysyndactyly	多合指症
polyuria	多尿症
pontine infarction	橋梗塞
porencephaly	孔脳症
porokeratosis	汗孔角化(症)
poroma	1.炎症性硬結; 2.汗孔腫
porphyria	ポルフィリン症(hematoporphyria)
porphyria cutanea tarda	晩発性皮膚ポルフィリン(略 PCT)
postmenopausal bleeding	閉経後出血(略 PMB)
postmenopausal syndrome	閉経後症候群(略 PMS)
postoperative buccal cyst	術後頬部嚢胞
postpartum depression	産後うつ病
postrenal anuria	腎後性無尿
postrenal hematuria	腎後性血尿
postrenal uremia	腎後性尿毒症
posttraumatic amnesia	外傷後健忘
posttraumatic hydrocephalus	外傷後水頭症
pouchitis	回腸嚢炎
precancerous lesion	前癌病変
precordialgia	前胸部痛
preexcitation	早発興奮(症)
pregnancy granuloma	妊娠腫(granuloma gravidarum[L])
preleukoplakia	前白板症
premalignant lesion	前癌病変
preurethritis	前尿道炎
pregnancy epulis	妊娠エプーリス(epulis granidarum[L])
pregnancy tumor	妊娠腫
primary atypical pneumonia	原発性異型肺炎[略 PAP]
primary glomerular disease	原発性糸球体疾患
primary hepatocarcinoma	原発性肝癌
primary tuberculosis	一次性結核
proctalgia	肛門直腸痛∥直腸肛門痛
proctocele	直腸脱
proctodynia	直腸肛門痛
proctoplegia	肛門括約筋麻痺
proctoptoma	肛門脱∥脱肛
proctoptosis	肛門脱∥脱肛
proctostenosis	直腸狭窄症∥直腸狭窄(rectostenosis)
progeria	早老症
prolapse	脱出(症)
urethral prolapse	尿道脱
prolapsus	脱出(症)
prolapsus ani	脱肛(proctoptosis; proctoptoma)
prolapsus recti	直腸脱
prolapsus uteri	子宮脱
prolapsus vaginae	膣脱
proliferating retinopathy	増殖型網膜症
proliferative glomerulonephritis	増殖性糸球体腎炎
prolonged apnea	持続無呼吸
proptosis	眼球突出(exophthalmia//exophthalmos//exophthalmus)
prosopodysmorphia	顔面変形症
prosopoplegia	顔面筋麻痺
prosoposchisis	顔面裂
prosopospasm	顔面筋痙攣
proteinosis	蛋白症
protozoal myocarditis∥protozoan myocarditis	原虫性心筋炎
protozoal infection∥protozoan infection	原虫感染症∥原虫症(protozoiasis; protozoosis)
protuberant dermatofibrosarcoma	隆起性皮膚線維肉腫(dermatofibrosarcoma protuberans[L])
psammoma	砂腫
psammosarcoma	砂腫状肉腫(sarcoma psammosum[L])
pseudarthrosis	偽関節
pseudoankylosis	偽性強直(症)
pseudocyst	偽嚢胞
pseudofracture	偽性骨折
pseudogout	偽痛風
pseudolupus	偽狼瘡
pseudoluxation	仮性脱臼
pseudomembranous colitis	偽膜性大腸炎(略 PMC)
pseudomembranous gastritis	偽膜性胃炎
pseudomembranous inflammation	偽膜性炎
pseudomyopia	仮性近視
pseudopelade	萎縮性脱毛(症)
psittacosis	オウム病
psoriasis	乾癬
psoriasis pustulosa	膿疱性乾癬
psoriasis vulgaris	尋常性乾癬
psoriatic erythroderma	乾癬性紅皮症(erythroderma psoriaticum[L])
psychalgia	精神痛
psychologic dyspareunia	心因性冷感症
psychosomatic disorder	心身障害
psychoplegia	精神麻痺
psychosis	精神病
ptosis	下垂(症)
ptyalism	流唾(症)
puerperal tetanus	産褥破傷風
pulmonary alveolar proteinosis	肺胞蛋白症(略 PAP)
pulmonary collapse	肺虚脱
pulmonary congestion	肺うっ血
pulmonary contusion	肺挫傷(lung contusion)
pulmonary damage	肺損傷(lung damage)(lung injury)
pulmonary disease	肺疾患(lung disease)
pulmonary edema	肺水腫∥肺浮腫
pulmonary emphysema	肺気腫(略 PE)
pulmonary eosinophilia	肺好酸球症(略 PE)
pulmonary fibroproliferation	肺線維増殖症(略 PFP)
pulmonary sequestration	肺分画症∥肺分離症
pulmonary silicosis	硅肺症
pulmonic plague	肺ペスト(pneumonic plague)
pulpalgia	歯髄痛
pulpitis	歯髄炎
pulpoperiapical disease	歯髄根尖周囲疾患
pulseless disease	脈なし病(Takayasu's disease)
pupillary dilatation	瞳孔散大
pupillary disturbance	瞳孔障害
purpura	紫斑病
thrombocytopenic purpura	血小板減少性紫斑病
purpura fulminans	劇症性紫斑病
pustule	膿疱
pustulosis	膿疱症
putaminal hemorrhage	被殻出血
pyelitis	腎盂炎
pyelolith	腎盂結石
pyelolithiasis	腎盂結石症
pyelonephritis	腎盂腎炎
pyelonephrosis	腎盂腎症
pyemesis	吐膿症
pyemia	膿血症
pyesis	化膿(症)(suppuration)
pygalgia	臀痛
pyloric stenosis	幽門狭窄(pyloristenosis)
pyloristenosis	幽門狭窄(pyloric stenosis)
pyloritis	幽門炎
pyocalyx	腎杯蓄膿
pyocyst	膿嚢胞
pyoderma	膿皮症(pyodermia; pyodermatosis)
pyoderma gangrenosum	壊疽性膿皮症(略 PG)
pyodermatosis	膿皮症(pyoderma; pyodermia)
pyodermia	膿皮症(pyoderma; pyodermatosis)
pyogenesis	化膿∥膿形成
pyogenic spondylitis	化膿性脊椎炎(＝感染性脊椎炎∥細菌性脊椎炎)
pyolabyrinthitis	化膿性迷路炎
pyometritis	化膿性子宮炎
pyomyositis	化膿性筋炎
pyonephrosis	膿腎症
pyo-ovarium	卵巣膿瘍
pyopericarditis	化膿性心膜炎∥化膿性心嚢炎
pyoperitonitis	化膿性腹膜炎
pyophthalmia	膿眼
pyophthalmitis	膿眼
pyopneumothorax	膿気胸
pyopoiesis	化膿∥膿形成
